in s,C2 in V
-2.96019E-01,3.34815E+00
-2.96014E-01,3.34753E+00
-2.96009E-01,3.34753E+00
-2.96004E-01,3.34723E+00
-2.95999E-01,3.34860E+00
-2.95994E-01,3.34998E+00
-2.95989E-01,3.35043E+00
-2.95984E-01,3.34982E+00
-2.95979E-01,3.34921E+00
-2.95974E-01,3.34769E+00
-2.95969E-01,3.34784E+00
-2.95964E-01,3.34647E+00
-2.95959E-01,3.34616E+00
-2.95954E-01,3.34616E+00
-2.95949E-01,3.34616E+00
-2.95944E-01,3.34601E+00
-2.95939E-01,3.34540E+00
-2.95934E-01,3.34647E+00
-2.95929E-01,3.34738E+00
-2.95924E-01,3.34845E+00
-2.95919E-01,3.34784E+00
-2.95914E-01,3.34738E+00
-2.95908E-01,3.34769E+00
-2.95903E-01,3.34753E+00
-2.95898E-01,3.34708E+00
-2.95893E-01,3.34708E+00
-2.95888E-01,3.34860E+00
-2.95883E-01,3.34784E+00
-2.95878E-01,3.34784E+00
